label,Sensor_1,Sensor_2
HAND_APPROACH,0.05,297.6
HAND_APPROACH,0.05,297.74
HAND_APPROACH,0.04,297.96
HAND_APPROACH,0.03,298.14
HAND_APPROACH,0.07,298.22
HAND_APPROACH,0.05,298.16
HAND_APPROACH,0.04,298.46
HAND_APPROACH,0.04,298.56
HAND_APPROACH,0.03,298.64
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.83,294.52
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.85,294.58
HAND_APPROACH,0.76,294.66
HAND_APPROACH,0.73,294.64
HAND_APPROACH,0.72,294.66
HAND_APPROACH,0.72,294.76
HAND_APPROACH,0.69,294.76
HAND_APPROACH,0.69,294.76
HAND_APPROACH,0.65,294.76
HAND_APPROACH,0.62,294.78
HAND_APPROACH,0.6,294.88
HAND_APPROACH,0.57,294.88
HAND_APPROACH,0.56,294.94
HAND_APPROACH,0.55,294.98
HAND_APPROACH,0.53,294.92
HAND_APPROACH,0.51,294.92
HAND_APPROACH,0.5,294.82
HAND_APPROACH,0.48,294.94
HAND_APPROACH,0.48,294.92
HAND_APPROACH,0.46,294.92
HAND_APPROACH,0.44,295.0
HAND_APPROACH,0.44,294.98
HAND_APPROACH,0.4,295.0
HAND_APPROACH,0.37,295.0
HAND_APPROACH,0.36,295.1
HAND_APPROACH,0.32,295.16
HAND_APPROACH,0.31,295.2
HAND_APPROACH,0.29,295.28
HAND_APPROACH,0.28,295.32
HAND_APPROACH,0.28,295.4
HAND_APPROACH,0.23,295.5
HAND_APPROACH,0.22,295.56
HAND_APPROACH,0.2,295.66
HAND_APPROACH,0.19,295.78
HAND_APPROACH,0.17,295.86
HAND_APPROACH,0.16,296.02
HAND_APPROACH,0.16,296.08
HAND_APPROACH,0.14,296.26
HAND_APPROACH,0.12,296.36
HAND_APPROACH,0.11,296.48
HAND_APPROACH,0.1,296.66
HAND_APPROACH,0.09,296.94
HAND_APPROACH,0.09,297.08
HAND_APPROACH,0.06,297.32
HAND_APPROACH,0.06,297.56
HAND_APPROACH,0.07,297.8
HAND_APPROACH,0.05,298.04
HAND_APPROACH,0.05,298.26
HAND_APPROACH,0.03,298.46
HAND_APPROACH,0.03,298.7
HAND_APPROACH,0.04,298.78
HAND_APPROACH,0.08,298.28
